yearID,monthID,pollutantID,processID,sourceTypeID,fuelTypeID,roadTypeID,SCC,emissionQuant,pollutant_name,process_name,sourcetype_name,roadtype_name,fueltype_name
2022,7,185,15,53,2,2,2202530215,2.28129E-13,Naphthalene gas,Crankcase Running Exhaust,Single Unit Long-haul Truck,Rural Restricted Access,Diesel Fuel
2022,7,185,15,52,2,2,2202520215,4.23822E-12,Naphthalene gas,Crankcase Running Exhaust,Single Unit Short-haul Truck,Rural Restricted Access,Diesel Fuel
2022,7,185,15,61,1,2,2201610215,3.51E-16,Naphthalene gas,Crankcase Running Exhaust,Combination Short-haul Truck,Rural Restricted Access,Gasoline
2022,7,185,15,53,1,2,2201530215,5.11702E-15,Naphthalene gas,Crankcase Running Exhaust,Single Unit Long-haul Truck,Rural Restricted Access,Gasoline
2022,7,185,15,52,1,2,2201520215,9.03278E-14,Naphthalene gas,Crankcase Running Exhaust,Single Unit Short-haul Truck,Rural Restricted Access,Gasoline
2022,7,185,1,62,3,2,2203620201,1.30E-16,Naphthalene gas,Running Exhaust,Combination Long-haul Truck,Rural Restricted Access,Compressed Natural Gas (CNG)
2022,7,185,1,61,3,2,2203610201,1.29425E-15,Naphthalene gas,Running Exhaust,Combination Short-haul Truck,Rural Restricted Access,Compressed Natural Gas (CNG)
2022,7,185,1,53,3,2,2203530201,2.04E-16,Naphthalene gas,Running Exhaust,Single Unit Long-haul Truck,Rural Restricted Access,Compressed Natural Gas (CNG)
2022,7,185,1,52,3,2,2203520201,4.33109E-15,Naphthalene gas,Running Exhaust,Single Unit Short-haul Truck,Rural Restricted Access,Compressed Natural Gas (CNG)
2022,7,185,1,62,2,2,2202620201,1.03751E-10,Naphthalene gas,Running Exhaust,Combination Long-haul Truck,Rural Restricted Access,Diesel Fuel
2022,7,185,1,61,2,2,2202610201,1.03882E-11,Naphthalene gas,Running Exhaust,Combination Short-haul Truck,Rural Restricted Access,Diesel Fuel
2022,7,185,1,53,2,2,2202530201,3.52664E-12,Naphthalene gas,Running Exhaust,Single Unit Long-haul Truck,Rural Restricted Access,Diesel Fuel
2022,7,185,1,52,2,2,2202520201,5.75324E-11,Naphthalene gas,Running Exhaust,Single Unit Short-haul Truck,Rural Restricted Access,Diesel Fuel
2022,7,185,1,61,1,2,2201610201,2.66154E-14,Naphthalene gas,Running Exhaust,Combination Short-haul Truck,Rural Restricted Access,Gasoline
2022,7,185,1,53,1,2,2201530201,3.87653E-13,Naphthalene gas,Running Exhaust,Single Unit Long-haul Truck,Rural Restricted Access,Gasoline
2022,7,185,1,52,1,2,2201520201,6.84301E-12,Naphthalene gas,Running Exhaust,Single Unit Short-haul Truck,Rural Restricted Access,Gasoline
2022,7,185,91,62,2,1,2202620191,616.578,Naphthalene gas,Auxiliary Power Exhaust,Combination Long-haul Truck,Off-Network,Diesel Fuel
2022,7,185,90,62,3,1,2203620190,0.0139112,Naphthalene gas,Extended Idle Exhaust,Combination Long-haul Truck,Off-Network,Compressed Natural Gas (CNG)
2022,7,185,90,62,2,1,2202620190,17758.4,Naphthalene gas,Extended Idle Exhaust,Combination Long-haul Truck,Off-Network,Diesel Fuel
2022,7,185,19,62,2,1,2202620119,88.6233,Naphthalene gas,Refueling Spillage Loss,Combination Long-haul Truck,Off-Network,Diesel Fuel
2022,7,185,19,61,2,1,2202610119,49.5199,Naphthalene gas,Refueling Spillage Loss,Combination Short-haul Truck,Off-Network,Diesel Fuel
2022,7,185,19,53,2,1,2202530119,5.58235,Naphthalene gas,Refueling Spillage Loss,Single Unit Long-haul Truck,Off-Network,Diesel Fuel
2022,7,185,19,52,2,1,2202520119,71.7994,Naphthalene gas,Refueling Spillage Loss,Single Unit Short-haul Truck,Off-Network,Diesel Fuel
2022,7,185,17,62,3,1,2203620117,0.000183627,Naphthalene gas,Crankcase Extended Idle Exhaust,Combination Long-haul Truck,Off-Network,Compressed Natural Gas (CNG)
2022,7,185,17,62,2,1,2202620117,1324.1,Naphthalene gas,Crankcase Extended Idle Exhaust,Combination Long-haul Truck,Off-Network,Diesel Fuel
2022,7,185,16,62,3,1,2203620116,5.25631E-08,Naphthalene gas,Crankcase Start Exhaust,Combination Long-haul Truck,Off-Network,Compressed Natural Gas (CNG)
2022,7,185,16,61,3,1,2203610116,4.14549E-06,Naphthalene gas,Crankcase Start Exhaust,Combination Short-haul Truck,Off-Network,Compressed Natural Gas (CNG)
2022,7,185,16,53,3,1,2203530116,1.63421E-07,Naphthalene gas,Crankcase Start Exhaust,Single Unit Long-haul Truck,Off-Network,Compressed Natural Gas (CNG)
2022,7,185,16,52,3,1,2203520116,2.30878E-05,Naphthalene gas,Crankcase Start Exhaust,Single Unit Short-haul Truck,Off-Network,Compressed Natural Gas (CNG)
2022,7,185,16,62,2,1,2202620116,1.0381,Naphthalene gas,Crankcase Start Exhaust,Combination Long-haul Truck,Off-Network,Diesel Fuel
2022,7,185,16,61,2,1,2202610116,0.967075,Naphthalene gas,Crankcase Start Exhaust,Combination Short-haul Truck,Off-Network,Diesel Fuel
2022,7,185,16,53,2,1,2202530116,0.106218,Naphthalene gas,Crankcase Start Exhaust,Single Unit Long-haul Truck,Off-Network,Diesel Fuel
2022,7,185,16,52,2,1,2202520116,12.7273,Naphthalene gas,Crankcase Start Exhaust,Single Unit Short-haul Truck,Off-Network,Diesel Fuel
2022,7,185,16,61,1,1,2201610116,0.045336,Naphthalene gas,Crankcase Start Exhaust,Combination Short-haul Truck,Off-Network,Gasoline
2022,7,185,16,53,1,1,2201530116,1.15669,Naphthalene gas,Crankcase Start Exhaust,Single Unit Long-haul Truck,Off-Network,Gasoline
2022,7,185,16,52,1,1,2201520116,223.911,Naphthalene gas,Crankcase Start Exhaust,Single Unit Short-haul Truck,Off-Network,Gasoline
2022,7,185,15,62,3,1,2203620115,0.000121238,Naphthalene gas,Crankcase Running Exhaust,Combination Long-haul Truck,Off-Network,Compressed Natural Gas (CNG)
2022,7,185,15,61,3,1,2203610115,0.00685925,Naphthalene gas,Crankcase Running Exhaust,Combination Short-haul Truck,Off-Network,Compressed Natural Gas (CNG)
2022,7,185,15,53,3,1,2203530115,0.00121135,Naphthalene gas,Crankcase Running Exhaust,Single Unit Long-haul Truck,Off-Network,Compressed Natural Gas (CNG)
2022,7,185,15,52,3,1,2203520115,0.0265888,Naphthalene gas,Crankcase Running Exhaust,Single Unit Short-haul Truck,Off-Network,Compressed Natural Gas (CNG)
2022,7,185,15,62,2,1,2202620115,475.443,Naphthalene gas,Crankcase Running Exhaust,Combination Long-haul Truck,Off-Network,Diesel Fuel
2022,7,185,15,61,2,1,2202610115,564.543,Naphthalene gas,Crankcase Running Exhaust,Combination Short-haul Truck,Off-Network,Diesel Fuel
2022,7,185,15,53,2,1,2202530115,72.5028,Naphthalene gas,Crankcase Running Exhaust,Single Unit Long-haul Truck,Off-Network,Diesel Fuel
2022,7,185,15,52,2,1,2202520115,1308.48,Naphthalene gas,Crankcase Running Exhaust,Single Unit Short-haul Truck,Off-Network,Diesel Fuel
2022,7,185,15,61,1,1,2201610115,0.0106926,Naphthalene gas,Crankcase Running Exhaust,Combination Short-haul Truck,Off-Network,Gasoline
2022,7,185,15,53,1,1,2201530115,1.19159,Naphthalene gas,Crankcase Running Exhaust,Single Unit Long-haul Truck,Off-Network,Gasoline
2022,7,185,15,52,1,1,2201520115,18.754,Naphthalene gas,Crankcase Running Exhaust,Single Unit Short-haul Truck,Off-Network,Gasoline
2022,7,185,2,62,3,1,2203620102,3.98205E-06,Naphthalene gas,Start Exhaust,Combination Long-haul Truck,Off-Network,Compressed Natural Gas (CNG)
2022,7,185,2,61,3,1,2203610102,0.000314052,Naphthalene gas,Start Exhaust,Combination Short-haul Truck,Off-Network,Compressed Natural Gas (CNG)
2022,7,185,2,53,3,1,2203530102,1.23804E-05,Naphthalene gas,Start Exhaust,Single Unit Long-haul Truck,Off-Network,Compressed Natural Gas (CNG)
2022,7,185,2,52,3,1,2203520102,0.00174907,Naphthalene gas,Start Exhaust,Single Unit Short-haul Truck,Off-Network,Compressed Natural Gas (CNG)
2022,7,185,2,62,2,1,2202620102,55.075,Naphthalene gas,Start Exhaust,Combination Long-haul Truck,Off-Network,Diesel Fuel
2022,7,185,2,61,2,1,2202610102,107.557,Naphthalene gas,Start Exhaust,Combination Short-haul Truck,Off-Network,Diesel Fuel
2022,7,185,2,53,2,1,2202530102,8.16613,Naphthalene gas,Start Exhaust,Single Unit Long-haul Truck,Off-Network,Diesel Fuel
2022,7,185,2,52,2,1,2202520102,1223.11,Naphthalene gas,Start Exhaust,Single Unit Short-haul Truck,Off-Network,Diesel Fuel
2022,7,185,2,61,1,1,2201610102,3.43455,Naphthalene gas,Start Exhaust,Combination Short-haul Truck,Off-Network,Gasoline
2022,7,185,2,53,1,1,2201530102,87.6279,Naphthalene gas,Start Exhaust,Single Unit Long-haul Truck,Off-Network,Gasoline
2022,7,185,2,52,1,1,2201520102,16962.9,Naphthalene gas,Start Exhaust,Single Unit Short-haul Truck,Off-Network,Gasoline
2022,7,185,1,62,3,1,2203620101,0.00918471,Naphthalene gas,Running Exhaust,Combination Long-haul Truck,Off-Network,Compressed Natural Gas (CNG)
2022,7,185,1,61,3,1,2203610101,0.51964,Naphthalene gas,Running Exhaust,Combination Short-haul Truck,Off-Network,Compressed Natural Gas (CNG)
2022,7,185,1,53,3,1,2203530101,0.0917688,Naphthalene gas,Running Exhaust,Single Unit Long-haul Truck,Off-Network,Compressed Natural Gas (CNG)
2022,7,185,1,52,3,1,2203520101,2.01431,Naphthalene gas,Running Exhaust,Single Unit Short-haul Truck,Off-Network,Compressed Natural Gas (CNG)
2022,7,185,1,62,2,1,2202620101,4707.32,Naphthalene gas,Running Exhaust,Combination Long-haul Truck,Off-Network,Diesel Fuel
2022,7,185,1,61,2,1,2202610101,2590.53,Naphthalene gas,Running Exhaust,Combination Short-haul Truck,Off-Network,Diesel Fuel
2022,7,185,1,53,2,1,2202530101,1224.3,Naphthalene gas,Running Exhaust,Single Unit Long-haul Truck,Off-Network,Diesel Fuel
2022,7,185,1,52,2,1,2202520101,19866.3,Naphthalene gas,Running Exhaust,Single Unit Short-haul Truck,Off-Network,Diesel Fuel
2022,7,185,1,61,1,1,2201610101,0.810048,Naphthalene gas,Running Exhaust,Combination Short-haul Truck,Off-Network,Gasoline
2022,7,185,1,53,1,1,2201530101,90.2718,Naphthalene gas,Running Exhaust,Single Unit Long-haul Truck,Off-Network,Gasoline
2022,7,185,1,52,1,1,2201520101,1420.76,Naphthalene gas,Running Exhaust,Single Unit Short-haul Truck,Off-Network,Gasoline
2022,7,184,15,62,3,5,2203620515,0.000693036,Pyrene gas,Crankcase Running Exhaust,Combination Long-haul Truck,Urban Unrestricted Access,Compressed Natural Gas (CNG)
2022,7,184,15,61,3,5,2203610515,0.0111388,Pyrene gas,Crankcase Running Exhaust,Combination Short-haul Truck,Urban Unrestricted Access,Compressed Natural Gas (CNG)
2022,7,184,15,53,3,5,2203530515,0.00245792,Pyrene gas,Crankcase Running Exhaust,Single Unit Long-haul Truck,Urban Unrestricted Access,Compressed Natural Gas (CNG)
2022,7,184,15,52,3,5,2203520515,0.051248,Pyrene gas,Crankcase Running Exhaust,Single Unit Short-haul Truck,Urban Unrestricted Access,Compressed Natural Gas (CNG)
2022,7,184,15,62,2,5,2202620515,134.092,Pyrene gas,Crankcase Running Exhaust,Combination Long-haul Truck,Urban Unrestricted Access,Diesel Fuel
2022,7,184,15,61,2,5,2202610515,19.7026,Pyrene gas,Crankcase Running Exhaust,Combination Short-haul Truck,Urban Unrestricted Access,Diesel Fuel
2022,7,184,15,53,2,5,2202530515,7.98403,Pyrene gas,Crankcase Running Exhaust,Single Unit Long-haul Truck,Urban Unrestricted Access,Diesel Fuel
2022,7,184,15,52,2,5,2202520515,114.904,Pyrene gas,Crankcase Running Exhaust,Single Unit Short-haul Truck,Urban Unrestricted Access,Diesel Fuel
2022,7,184,15,61,1,5,2201610515,0.00551005,Pyrene gas,Crankcase Running Exhaust,Combination Short-haul Truck,Urban Unrestricted Access,Gasoline
2022,7,184,15,53,1,5,2201530515,0.370755,Pyrene gas,Crankcase Running Exhaust,Single Unit Long-haul Truck,Urban Unrestricted Access,Gasoline
2022,7,184,15,52,1,5,2201520515,5.96378,Pyrene gas,Crankcase Running Exhaust,Single Unit Short-haul Truck,Urban Unrestricted Access,Gasoline
2022,7,184,1,62,3,5,2203620501,0.0525027,Pyrene gas,Running Exhaust,Combination Long-haul Truck,Urban Unrestricted Access,Compressed Natural Gas (CNG)
2022,7,184,1,61,3,5,2203610501,0.843849,Pyrene gas,Running Exhaust,Combination Short-haul Truck,Urban Unrestricted Access,Compressed Natural Gas (CNG)
2022,7,184,1,53,3,5,2203530501,0.186206,Pyrene gas,Running Exhaust,Single Unit Long-haul Truck,Urban Unrestricted Access,Compressed Natural Gas (CNG)
2022,7,184,1,52,3,5,2203520501,3.88242,Pyrene gas,Running Exhaust,Single Unit Short-haul Truck,Urban Unrestricted Access,Compressed Natural Gas (CNG)
2022,7,184,1,62,2,5,2202620501,3195.26,Pyrene gas,Running Exhaust,Combination Long-haul Truck,Urban Unrestricted Access,Diesel Fuel
2022,7,184,1,61,2,5,2202610501,361.134,Pyrene gas,Running Exhaust,Combination Short-haul Truck,Urban Unrestricted Access,Diesel Fuel
