yearID,monthID,pollutantID,processID,sourceTypeID,fuelTypeID,roadTypeID,SCC,emissionQuant,pollutant_name,process_name,roadtype_name,sourcetype_name
2022,7,1,19,52,1,5,2201520519,966980,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Urban Unrestricted Access,Single Unit Short-haul Truck
2022,7,1,19,61,2,4,2202610419,923694,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Urban Restricted Access,Combination Short-haul Truck
2022,1,1,1,53,3,5,2203530501,914707,Total Gaseous Hydrocarbons,Running Exhaust,Urban Unrestricted Access,Single Unit Long-haul Truck
2022,7,1,1,62,3,5,2203620501,907954,Total Gaseous Hydrocarbons,Running Exhaust,Urban Unrestricted Access,Combination Long-haul Truck
2022,1,1,19,61,2,4,2202610419,885294,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Urban Restricted Access,Combination Short-haul Truck
2022,1,1,1,62,3,5,2203620501,884744,Total Gaseous Hydrocarbons,Running Exhaust,Urban Unrestricted Access,Combination Long-haul Truck
2022,7,1,1,53,2,5,2202530501,873859,Total Gaseous Hydrocarbons,Running Exhaust,Urban Unrestricted Access,Single Unit Long-haul Truck
2022,1,1,19,52,1,5,2201520519,833522,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Urban Unrestricted Access,Single Unit Short-haul Truck
2022,1,1,18,53,1,5,2201530518,824444,Total Gaseous Hydrocarbons,Refueling Displacement Vapor Loss,Urban Unrestricted Access,Single Unit Long-haul Truck
2022,7,1,1,52,1,1,2201520101,797657,Total Gaseous Hydrocarbons,Running Exhaust,Off-Network,Single Unit Short-haul Truck
2022,7,1,15,52,2,5,2202520515,792193,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Unrestricted Access,Single Unit Short-haul Truck
2022,7,1,1,62,2,1,2202620101,777831,Total Gaseous Hydrocarbons,Running Exhaust,Off-Network,Combination Long-haul Truck
2022,1,1,1,62,2,1,2202620101,758175,Total Gaseous Hydrocarbons,Running Exhaust,Off-Network,Combination Long-haul Truck
2022,1,1,1,53,2,5,2202530501,753254,Total Gaseous Hydrocarbons,Running Exhaust,Urban Unrestricted Access,Single Unit Long-haul Truck
2022,7,1,1,61,2,1,2202610101,735639,Total Gaseous Hydrocarbons,Running Exhaust,Off-Network,Combination Short-haul Truck
2022,1,1,1,61,2,1,2202610101,706050,Total Gaseous Hydrocarbons,Running Exhaust,Off-Network,Combination Short-haul Truck
2022,7,1,13,52,1,5,2201520513,691758,Total Gaseous Hydrocarbons,Evap Fuel Leaks,Urban Unrestricted Access,Single Unit Short-haul Truck
2022,1,1,15,52,2,5,2202520515,682858,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Unrestricted Access,Single Unit Short-haul Truck
2022,7,1,19,52,2,4,2202520419,673659,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Urban Restricted Access,Single Unit Short-haul Truck
2022,7,1,18,53,1,5,2201530518,650342,Total Gaseous Hydrocarbons,Refueling Displacement Vapor Loss,Urban Unrestricted Access,Single Unit Long-haul Truck
2022,7,1,1,62,3,4,2203620401,624092,Total Gaseous Hydrocarbons,Running Exhaust,Urban Restricted Access,Combination Long-haul Truck
2022,1,1,1,52,1,1,2201520101,610642,Total Gaseous Hydrocarbons,Running Exhaust,Off-Network,Single Unit Short-haul Truck
2022,1,1,1,62,3,4,2203620401,608065,Total Gaseous Hydrocarbons,Running Exhaust,Urban Restricted Access,Combination Long-haul Truck
2022,1,1,13,52,1,5,2201520513,596287,Total Gaseous Hydrocarbons,Evap Fuel Leaks,Urban Unrestricted Access,Single Unit Short-haul Truck
2022,1,1,19,52,2,4,2202520419,580673,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Urban Restricted Access,Single Unit Short-haul Truck
2022,7,1,1,53,1,5,2201530501,524512,Total Gaseous Hydrocarbons,Running Exhaust,Urban Unrestricted Access,Single Unit Long-haul Truck
2022,7,1,15,61,2,5,2202610515,523921,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Unrestricted Access,Combination Short-haul Truck
2022,1,1,15,61,2,5,2202610515,502605,Total Gaseous Hydrocarbons,Crankcase Running Exhaust,Urban Unrestricted Access,Combination Short-haul Truck
2022,7,1,19,52,1,4,2201520419,487476,Total Gaseous Hydrocarbons,Refueling Spillage Loss,Urban Restricted Access,Single Unit Short-haul Truck
2022,7,1,2,52,2,1,2202520102,434110,Total Gaseous Hydrocarbons,Start Exhaust,Off-Network,Single Unit Short-haul Truck
2022,1,1,2,62,2,1,2202620102,433115,Total Gaseous Hydrocarbons,Start Exhaust,Off-Network,Combination Long-haul Truck
