Year,Make,Fuel,License State
2004,Freightliner,diesel,IN
2004,Freightliner,diesel,IN
2008,Freightliner,diesel,IN
2017,Kenworth,diesel,IN
2017,Kenworth,diesel,IN
2016,Freightliner,diesel,IN
2013,Volvo,diesel,AR
2000,Freightliner,diesel,IN
,Freightliner,diesel,IN
2012,Freightliner,diesel,IN
2004,Freightliner,diesel,IN
,Kenworth,diesel,IN
2005,Freightliner,diesel,AR
2012,Volvo,diesel,IN
2016,Freightliner,diesel,IN
2016,Freightliner,diesel,MS
2023,Freightliner,diesel,IN
2007,Freightliner,diesel,AR
2012,Kenworth,diesel,IL
2016,Volvo,diesel,TN
2004,International,diesel,AR
,International,diesel,IN
2020,Kenworth,diesel,IN
2011,VOLVO TRUCK,diesel,IN
2013,FREIGHTLINER,diesel,IN
2016,FREIGHTLINER,diesel,IN
2007,INTERNATIONAL,diesel,MS
2007,FREIGHTLINER,diesel,IN
2000,FREIGHTLINER,diesel,IN
2005,FREIGHTLINER,diesel,IN
2016,WESTERN STAR,diesel,IN
2007,FREIGHTLINER,diesel,IN
2006,VOLVO TRUCK,diesel,IN
2015,INTERNATIONAL,diesel,IN
2014,PETERBILT,diesel,IN
2018,Freightliner,diesel,IN
2017,FREIGHTLINER,diesel,IN
2022,Kenworth,diesel,IN
2012,Freightliner,diesel,IL
2016,VOLVO TRUCK,diesel,IN
2014,VOLVO TRUCK,diesel,IN
2018,FREIGHTLINER,diesel,IN
2005,FREIGHTLINER,diesel,IN
2005,Volvo,diesel,IN
2012,FREIGHTLINER,diesel,IN
2016,FREIGHTLINER,diesel,IN
2013,KENWORTH,diesel,IN
2009,volvo truck,diesel,IN
2007,freightliner,diesel,IN
2002,Freightliner,diesel,IN
2012,PETERBILT,diesel,IN
2012,Freightliner,diesel,IN
,International,diesel,IN
2009,International,diesel,IN
,International,diesel,IN
2001,Mack,diesel,IN
2017,INTERNATIONAL,diesel,IN
2009,International,diesel,IN
2006,KENWORTH,diesel,IN
2017,INTERNATIONAL,diesel,IN
2015,FREIGHTLINER,diesel,IN
2005,KENWORTH,diesel,IN
2015,FREIGHTLINER,diesel,PA
2018,international,diesel,IN
2011,Freightliner,diesel,IN
2005,Freightliner,diesel,IN
2009,International,diesel,FL
2015,Freightliner,diesel,FL
2013,Freightliner,diesel,IN
2005,Freightliner,diesel,IN
2013,Freightliner,diesel,IN
2009,Volvo,diesel,IN
2005,Freightliner,diesel,
1999,FREIGHTLINER,diesel,FL
2005,Kenworth,diesel,IN
2014,Freightliner,diesel,FL
2013,FREIGHTLINER,diesel,FL
2013,KENWORTH,diesel,FL
2005,Kenworth,diesel,IN
2006,VOLVO TRUCK,diesel,FL
2013,VOLVO TRUCK,diesel,IN
2003,freightliner,diesel,
2007,FREIGHTLINER,diesel,NJ
2016,FREIGHTLINER,diesel,IN
2005,PETERBILT,diesel,IN
2007,PETERBILT,diesel,IN
2017,Volvo,diesel,NJ
2015,Volvo,diesel,NJ
2002,Freightliner,diesel,IN
2002,Freightliner,diesel,IN
1996,Freightliner,diesel,NJ
,Volvo,diesel,NJ
2013,Peterbilt,diesel,NJ
2011,International,diesel,IN
2013,Freightliner,diesel,IN
2009,FREIGHTLINER,diesel,NJ
2019,Freightliner,diesel,IN
2014,Freightliner,diesel,IN
2004,Freightliner,diesel,MD
2014,VOLVO TRUCK,diesel,IN
2011,FREIGHTLINER,diesel,
2016,PETERBILT,diesel,IN
2016,FREIGHTLINER,diesel,IN
2016,Kenworth,diesel,IN
2017,FREIGHTLINER,diesel,IN
2006,International,diesel,NY
2014,Kenworth,diesel,NJ
,Freightliner,diesel,IN
2007,INTERNATIONAL,diesel,IN
2017,PETERBILT,diesel,NJ
2018,MACK,diesel,NJ
2016,FREIGHTLINER,diesel,
2025,PETERBILT,diesel,NJ
2016,FREIGHTLINER,diesel,PA
2016,FREIGHTLINER,diesel,MD
2017,PETERBILT,diesel,IN
2014,VOLVO TRUCK,diesel,IN
2017,PETERBILT,diesel,IN
2018,FREIGHTLINER,diesel,IN
2019,MACK,diesel,IN
2016,KENWORTH,diesel,NJ
2019,KENWORTH,diesel,NJ
2021,INTERNATIONAL,diesel,IN
2012,PETERBILT,diesel,NJ
2015,freightliner,diesel,IN
2017,volvo truck,diesel,IN
2015,international,diesel,TX
2004,freightliner,diesel,IN
2026,peterbilt,diesel,NJ
2015,freightliner,diesel,NJ
2019,volvo truck,diesel,
2005,Freightliner,diesel,NJ
1997,FREIGHTLINER,diesel,NJ
1997,Kenworth,diesel,NJ
2007,Freightliner,diesel,NJ
,International,diesel,IN
,International,diesel,IN
2016,Volvo,diesel,IN
2011,Kenworth,diesel,NJ
,,diesel,
2012,Freightliner,diesel,NJ
2021,KENWORTH,diesel,NJ
2013,VOLVO TRUCK,diesel,NJ
2007,FREIGHTLINER,diesel,NJ
2018,FREIGHTLINER,diesel,IN
2005,Volvo,diesel,IL
2005,Freightliner,diesel,IL
2016,Freightliner,diesel,IL
2016,Peterbilt,diesel,IL
2017,Kenworth,diesel,IN
2015,Freightliner,diesel,IL
2012,Freightliner,diesel,IN
2007,Western Star,diesel,IL
2011,Kenworth,diesel,IL
2002,Freightliner,diesel,IN
2005,kw,diesel,IL
2009,Freightliner,diesel,IL
,Kenworth,diesel,IL
,Peterbilt,diesel,IL
,Volvo,diesel,IN
2009,KENWORTH,diesel,IN
2016,KENWORTH,diesel,IN
2011,Volvo,diesel,IN
2005,Freightliner,diesel,IN
2016,Kenworth,diesel,IL
2015,Kenworth,diesel,IN
2016,Kenworth,diesel,IN
2017,Volvo,diesel,IL
2007,Kenworth,diesel,IN
2009,VOLVO TRUCK,diesel,IN
2017,KENWORTH,diesel,IL
2016,VOLVO TRUCK,diesel,IL
2007,FREIGHTLINER,diesel,IN
2019,PETERBILT,diesel,IN
2007,VOLVO TRUCK,diesel,IN
2016,Peterbilt,diesel,TX
2002,Freightliner,diesel,TX
2016,International,diesel,IN
2005,Peterbilt,diesel,IN
2016,KENWORTH,diesel,TX
2007,Freightliner,diesel,TX
2009,Freightliner,diesel,IN
2006,Freightliner,diesel,IN
2009,VOLVO TRUCK,diesel,TX
2000,International,diesel,TX
2008,Freightliner,diesel,TX
2005,International,diesel,IN
2014,KENWORTH,diesel,IN
2018,INTERNATIONAL,diesel,IN
2005,Mack,diesel,TX
2016,INTERNATIONAL,diesel,IN
2018,FREIGHTLINER,diesel,TX
2014,VOLVO TRUCK,diesel,TX
2014,Freightliner,diesel,TX
2016,INTERNATIONAL,diesel,IN
2010,FREIGHTLINER,diesel,TX
2016,FREIGHTLINER,diesel,TX
2005,FREIGHTLINER,diesel,TX
2005,VOLVO TRUCK,diesel,TX
2010,Freightliner,diesel,TX
2012,FREIGHTLINER,diesel,TX
2016,KENWORTH,diesel,TX
2002,volvo,diesel,GA
1997,International,diesel,IN
1991,Freightliner,diesel,GA
2004,Freightliner,diesel,IN
2014,Volvo,diesel,IN
2013,Freightliner,diesel,IN
2011,Kenworth,diesel,FL
2019,VOLVO TRUCK,diesel,IN
1999,FREIGHTLINER,diesel,GA
2006,FREIGHTLINER,diesel,GA
1999,INTERNATIONAL,diesel,IN
2013,FREIGHTLINER,diesel,
2010,FREIGHTLINER,diesel,IN
2007,FREIGHTLINER,diesel,IN
2013,FREIGHTLINER,diesel,GA
2019,INTERNATIONAL,diesel,IN
2015,INTERNATIONAL,diesel,GA
2012,Peterbilt,diesel,GA
2013,freightliner,diesel,
2000,Kenworth,diesel,IN
1998,International,diesel,GA
2006,Freightliner,diesel,GA
2006,Freightliner,diesel,GA
2007,VOLVO,diesel,GA
2011,FREIGHTLINER,diesel,
2011,FREIGHTLINER,diesel,IN
2015,PETERBILT,diesel,IN
2016,FREIGHTLINER,diesel,IN
2012,MACK,diesel,GA
2018,PETERBILT,diesel,IN
2014,Freightliner,diesel,IN
2006,Freightliner,diesel,MO
2011,Freightliner,diesel,MO
2000,Western Star,diesel,IN
2006,Freightliner,diesel,IN
